epoch,train_loss,train_acc,train_prec,train_rec,train_f1,val_loss,val_acc,val_prec,val_rec,val_f1
Epoch 1,0.432052,0.876283,0.876283,0.876283,0.876283,0.413612,0.8785,0.8785,0.8785,0.8785
Epoch 2,0.343865,0.898117,0.898117,0.898117,0.898117,0.330461,0.9033,0.9033,0.9033,0.9033
Epoch 3,0.300632,0.91255,0.91255,0.91255,0.91255,0.289983,0.9148,0.9148,0.9148,0.9148
Epoch 4,0.27346,0.91845,0.91845,0.91845,0.91845,0.266299,0.9204,0.9204,0.9204,0.9204
Epoch 5,0.255351,0.924,0.924,0.924,0.924,0.247939,0.9257,0.9257,0.9257,0.9257
Epoch 6,0.242137,0.928717,0.928717,0.928717,0.928717,0.238207,0.9299,0.9299,0.9299,0.9299
Epoch 7,0.228463,0.931833,0.931833,0.931833,0.931833,0.223498,0.9334,0.9334,0.9334,0.9334
Epoch 8,0.221924,0.933433,0.933433,0.933433,0.933433,0.218579,0.9336,0.9336,0.9336,0.9336
Epoch 9,0.214691,0.936017,0.936017,0.936017,0.936017,0.211898,0.9357,0.9357,0.9357,0.9357
Epoch 10,0.203385,0.939067,0.939067,0.939067,0.939067,0.202017,0.9394,0.9394,0.9394,0.9394
